date,company,open,close
2014-01-07,Apple,19.440001,19.287144
2014-01-07,Google,563.063049,570.0
2014-01-07,Meta,57.700001,57.919998
2014-01-07,Tesla,9.841333,9.957333
2014-01-08,Apple,19.243214,19.409286
2014-01-08,Google,573.573547,571.186157
2014-01-08,Meta,57.599998,58.23
2014-01-08,Tesla,9.923333,10.085333
2014-01-09,Apple,19.52857,19.161428
2014-01-09,Google,572.292297,565.685669
2014-01-09,Meta,58.650002,57.220001
2014-01-09,Tesla,10.166667,9.835333
2014-01-10,Apple,19.279642,19.033571
2014-01-10,Google,570.110107,565.65564
2014-01-10,Meta,57.130001,57.939999
2014-01-10,Tesla,9.897333,9.714667
2014-01-13,Apple,18.925358,19.133215
2014-01-13,Google,563.798828,562.052063
2014-01-13,Meta,57.91,55.91
2014-01-13,Tesla,9.718667,9.289333
2014-01-14,Apple,19.222143,19.513929
2014-01-14,Google,569.544556,575.275269
2014-01-14,Meta,56.459999,57.740002
2014-01-14,Tesla,9.366667,10.751333
2014-01-15,Apple,19.768572,19.905714
2014-01-15,Google,577.072083,574.884888
2014-01-15,Meta,57.98,57.599998
2014-01-15,Tesla,11.23,10.942
2014-01-16,Apple,19.817858,19.794643
2014-01-16,Google,575.125122,578.68866
2014-01-16,Meta,57.259998,57.189999
2014-01-16,Tesla,10.833333,11.398
2014-01-17,Apple,19.695715,19.309643
2014-01-17,Google,579.004028,575.84082
2014-01-17,Meta,57.299999,56.299999
2014-01-17,Tesla,11.346,11.334
2014-01-21,Apple,19.321072,19.609644
2014-01-21,Google,581.046021,582.432434
2014-01-21,Meta,56.599998,58.509998
2014-01-21,Tesla,11.416,11.778667
2014-01-22,Apple,19.675358,19.696787
2014-01-22,Google,583.888916,583.093079
2014-01-22,Meta,58.849998,57.509998
2014-01-22,Tesla,11.854,11.904
2014-01-23,Apple,19.640715,19.863571
2014-01-23,Google,580.580566,580.630615
2014-01-23,Meta,56.369999,56.630001
2014-01-23,Tesla,11.815333,12.1
2014-01-24,Apple,19.785713,19.502501
2014-01-24,Google,576.081055,562.477478
2014-01-24,Meta,56.150002,54.450001
2014-01-24,Tesla,11.856667,11.64
2014-01-27,Apple,19.645357,19.660713
2014-01-27,Google,563.613586,551.166138
2014-01-27,Meta,54.73,53.549999
2014-01-27,Tesla,11.677333,11.308
2014-01-28,Apple,18.17,18.089287
2014-01-28,Google,555.715698,562.067078
2014-01-28,Meta,54.02,55.139999
2014-01-28,Tesla,11.433333,11.892
2014-01-29,Apple,17.998215,17.883928
2014-01-29,Google,560.120117,554.014038
2014-01-29,Meta,54.610001,53.529999
2014-01-29,Tesla,11.686667,11.682
2014-01-30,Apple,17.947857,17.849285
2014-01-30,Google,573.073059,568.263245
2014-01-30,Meta,62.119999,61.080002
2014-01-30,Tesla,11.866667,12.189333
2014-01-31,Apple,17.684999,17.878571
2014-01-31,Google,586.261292,591.07605
2014-01-31,Meta,60.470001,62.57
2014-01-31,Tesla,11.923333,12.094
2014-02-03,Apple,17.950357,17.911785
2014-02-03,Google,590.190186,567.282288
2014-02-03,Meta,63.029999,61.48
2014-02-03,Tesla,12.192667,11.807333
2014-02-04,Apple,18.066071,18.17107
2014-02-04,Google,569.564575,569.649658
2014-02-04,Meta,62.049999,62.75
2014-02-04,Tesla,12.046667,11.915333
2014-02-05,Apple,18.091429,18.306786
2014-02-05,Google,572.262268,572.17218
2014-02-05,Meta,62.740002,62.189999
2014-02-05,Tesla,11.886667,11.628
2014-02-06,Apple,18.216429,18.303928
2014-02-06,Google,576.141113,580.560547
2014-02-06,Meta,61.459999,62.16
2014-02-06,Tesla,11.753333,11.892
2014-02-07,Apple,18.620714,18.559999
2014-02-07,Google,584.399414,589.309326
2014-02-07,Meta,62.27,64.32
2014-02-07,Tesla,12.067333,12.435333
2014-02-10,Apple,18.523571,18.8925
2014-02-10,Google,586.486511,587.052063
2014-02-10,Meta,64.300003,63.549999
2014-02-10,Tesla,12.622667,13.104
2014-02-11,Apple,18.950357,19.14143
2014-02-11,Google,590.675659,595.685669
2014-02-11,Meta,63.75,64.849998
2014-02-11,Tesla,13.264667,13.108
2014-02-12,Apple,19.176786,19.139999
2014-02-12,Google,595.095093,593.938965
2014-02-12,Meta,64.919998,64.449997
2014-02-12,Tesla,13.052,13.021333
2014-02-13,Apple,19.094999,19.44393
2014-02-13,Google,590.965942,600.550537
2014-02-13,Meta,64.18,67.330002
2014-02-13,Tesla,12.889333,13.308667
2014-02-14,Apple,19.373928,19.428213
2014-02-14,Google,598.403381,602.002014
2014-02-14,Meta,67.5,67.089996
2014-02-14,Tesla,13.206667,13.215333
2014-02-18,Apple,19.5,19.499643
2014-02-18,Google,601.306335,606.046021
2014-02-18,Meta,66.940002,67.300003
2014-02-18,Tesla,13.682667,13.58
2014-02-19,Apple,19.455357,19.191786
2014-02-19,Google,603.253235,601.77179
2014-02-19,Meta,67.050003,68.059998
2014-02-19,Tesla,13.58,12.909333
2014-02-20,Apple,19.035357,18.969643
2014-02-20,Google,602.17218,602.657654
2014-02-20,Meta,67.730003,69.629997
2014-02-20,Tesla,14.334,13.998
2014-02-21,Apple,19.028214,18.758928
2014-02-21,Google,604.509521,602.497498
2014-02-21,Meta,69.690002,68.589996
2014-02-21,Tesla,14.109333,13.973333
2014-02-24,Apple,18.683929,18.84107
2014-02-24,Google,603.283264,606.861877
2014-02-24,Meta,68.739998,70.779999
2014-02-24,Tesla,13.917333,14.51
2014-02-25,Apple,18.906429,18.645
2014-02-25,Google,608.578552,610.610596
2014-02-25,Meta,70.949997,69.849998
2014-02-25,Tesla,15.333333,16.533333
2014-02-26,Apple,18.700357,18.476786
2014-02-26,Google,612.61261,610.695679
2014-02-26,Meta,70.190002,69.260002
2014-02-26,Tesla,17.238667,16.866667
2014-02-27,Apple,18.469286,18.845358
2014-02-27,Google,609.80481,610.21521
2014-02-27,Meta,69.339996,68.940002
2014-02-27,Tesla,17.416668,16.836
2014-02-28,Apple,18.895714,18.794287
2014-02-28,Google,610.780762,608.433411
2014-02-28,Meta,69.470001,68.459999
2014-02-28,Tesla,16.643333,16.320667
2014-03-03,Apple,18.693571,18.848572
2014-03-03,Google,603.979004,601.94696
2014-03-03,Meta,66.959999,67.410004
2014-03-03,Tesla,15.817333,16.704
2014-03-04,Apple,18.964287,18.972857
2014-03-04,Google,608.108093,608.063049
2014-03-04,Meta,68.660004,68.800003
2014-03-04,Tesla,17.232,16.989332
2014-03-05,Apple,18.96143,19.012857
2014-03-05,Google,608.133118,609.739746
2014-03-05,Meta,69.690002,71.57
2014-03-05,Tesla,17.114668,16.844
2014-03-06,Apple,19.028214,18.955357
2014-03-06,Google,611.75177,610.415405
2014-03-06,Meta,71.879997,70.839996
2014-03-06,Tesla,16.942667,16.862667
2014-03-07,Apple,18.967501,18.944286
2014-03-07,Google,614.014038,608.002991
2014-03-07,Meta,71.080002,69.800003
2014-03-07,Tesla,16.862667,16.414
2014-03-10,Apple,18.870001,18.96143
2014-03-10,Google,608.45343,606.391418
2014-03-10,Meta,70.769997,72.029999
2014-03-10,Tesla,16.18,15.922667
2014-03-11,Apple,19.123215,19.14607
2014-03-11,Google,607.492493,600.595581
2014-03-11,Meta,72.5,70.099998
2014-03-11,Tesla,15.766667,15.627333
2014-03-12,Apple,19.089643,19.164642
2014-03-12,Google,598.798828,604.254272
2014-03-12,Meta,69.860001,70.879997
2014-03-12,Tesla,15.433333,16.099333
2014-03-13,Apple,19.194286,18.951786
2014-03-13,Google,604.57959,595.125122
2014-03-13,Meta,71.290001,68.830002
2014-03-13,Tesla,16.252666,15.852667
2014-03-14,Apple,18.885357,18.73893
2014-03-14,Google,591.586609,586.987
2014-03-14,Meta,68.489998,67.720001
2014-03-14,Tesla,15.686,15.398
2014-03-17,Apple,18.84643,18.812143
2014-03-17,Google,590.21521,596.646667
2014-03-17,Meta,68.18,68.739998
2014-03-17,Tesla,15.663333,15.598667
2014-03-18,Apple,18.782143,18.978571
2014-03-18,Google,597.932922,606.236206
2014-03-18,Meta,68.760002,69.190002
2014-03-18,Tesla,15.796667,16.002666
2014-03-19,Apple,19.009287,18.973572
2014-03-19,Google,606.506531,600.22522
